Name ,A,d,tw,tw/2,bf,tf,kdes,kdet,k1,lbf,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw
W30X191,56.1,30.7,0.71,0.355,15,1.19,1.97,2  1/2 ,1  9/16,191,9200,600,12.8,675,673,89.5,3.46,138,4.06,29.5,21,146000
W30X173,50.9,30.4,0.655,0.3275,15,1.07,1.85,2  5/16,1  9/16,173,8230,541,12.7,607,598,79.8,3.42,123,4.03,29.3,15.6,129000
W30X148,43.6,30.7,0.65,0.325,10.5,1.18,1.83,2  1/2 ,1  9/16,148,6680,436,12.4,500,227,43.3,2.28,68,2.77,29.5,14.5,49400
W30X132,38.8,30.3,0.615,0.3075,10.5,1,1.65,2  1/4 ,1  1/2 ,132,5770,380,12.2,437,196,37.2,2.25,58.4,2.75,29.3,9.72,42100
W30X124,36.5,30.2,0.585,0.2925,10.5,0.93,1.58,2  1/4 ,1  1/2 ,124,5360,355,12.1,408,181,34.4,2.23,54,2.73,29.3,7.99,38600
W30X116,34.2,30,0.565,0.2825,10.5,0.85,1.5,2  1/8 ,1  1/2 ,116,4930,329,12,378,164,31.3,2.19,49.2,2.7,29.2,6.43,34900
W30X108,31.7,29.8,0.545,0.2725,10.5,0.76,1.41,2,1  1/2 ,108,4470,299,11.9,346,146,27.9,2.15,43.9,2.67,29,4.99,30900
W30X99,29,29.7,0.52,0.26,10.5,0.67,1.32,2,1  1/2 ,99,3990,269,11.7,312,128,24.5,2.1,38.6,2.62,29,3.77,26800
W30X90,26.3,29.5,0.47,0.235,10.4,0.61,1.26,1  7/8 ,1  7/16,90,3610,245,11.7,283,115,22.1,2.09,34.7,2.6,28.9,2.84,24000
W27X539,159,32.5,1.97,0.985,15.3,3.54,4.33,4  7/16,1 13/16,539,25600,1570,12.7,1890,2110,277,3.65,437,4.41,29,496,443000
W27X368,109,30.4,1.38,0.69,14.7,2.48,3.27,3 11/16,1  7/8 ,368,16200,1060,12.2,1240,1310,179,3.48,279,4.15,27.9,170,255000
W27X336,99.2,30,1.26,0.63,14.6,2.28,3.07,3  1/2 ,1 13/16,336,14600,972,12.1,1130,1180,162,3.45,252,4.1,27.7,131,226000
W27X307,90.2,29.6,1.16,0.58,14.4,2.09,2.88,3  5/16,1 13/16,307,13100,887,12,1030,1050,146,3.41,227,4.04,27.5,101,199000
W27X281,83.1,29.3,1.06,0.53,14.4,1.93,2.72,3  1/8 ,1  3/4 ,281,11900,814,12,936,953,133,3.39,206,4,27.4,79.5,178000
W27X258,76.1,29,0.98,0.49,14.3,1.77,2.56,3,1 11/16,258,10800,745,11.9,852,859,120,3.36,187,3.96,27.2,61.6,159000
W27X235,69.4,28.7,0.91,0.455,14.2,1.61,2.4,2  7/8 ,1 11/16,235,9700,677,11.8,772,769,108,3.33,168,3.92,27.1,47,141000
W27X217,63.9,28.4,0.83,0.415,14.1,1.5,2.29,2 11/16,1  5/8 ,217,8910,627,11.8,711,704,100,3.32,154,3.89,26.9,37.6,128000
W27X194,57.1,28.1,0.75,0.375,14,1.34,2.13,2  9/16,1  9/16,194,7860,559,11.7,631,619,88.1,3.29,136,3.85,26.8,27.1,111000
W27X178,52.5,27.8,0.725,0.3625,14.1,1.19,1.98,2  3/8 ,1  9/16,178,7020,505,11.6,570,555,78.8,3.25,122,3.83,26.6,20.1,98400
W27X161,47.6,27.6,0.66,0.33,14,1.08,1.87,2  5/16,1  9/16,161,6310,458,11.5,515,497,70.9,3.23,109,3.79,26.5,15.1,87300
W27X146,43.2,27.4,0.605,0.3025,14,0.975,1.76,2  3/16,1  1/2 ,146,5660,414,11.5,464,443,63.5,3.2,97.7,3.76,26.4,11.3,77200
W27X129,37.8,27.6,0.61,0.305,10,1.1,1.7,2  5/16,1  1/2 ,129,4760,345,11.2,395,184,36.8,2.21,57.6,2.66,26.5,11.1,32500
W27X114,33.6,27.3,0.57,0.285,10.1,0.93,1.53,2  1/8 ,1  1/2 ,114,4080,299,11,343,159,31.5,2.18,49.3,2.65,26.4,7.33,27600
W27X102,30,27.1,0.515,0.2575,10,0.83,1.43,2  1/16,1  7/16,102,3620,267,11,305,139,27.8,2.15,43.4,2.62,26.3,5.28,24000
W27X94,27.6,26.9,0.49,0.245,10,0.745,1.34,1 15/16,1  7/16,94,3270,243,10.9,278,124,24.8,2.12,38.8,2.59,26.2,4.03,21300
W27X84,24.7,26.7,0.46,0.23,10,0.64,1.24,1  7/8 ,1  7/16,84,2850,213,10.7,244,106,21.2,2.07,33.2,2.54,26.1,2.81,17900
W24X370,109,28,1.52,0.76,13.7,2.72,3.22,4,2,370,13400,957,11.1,1130,1160,170,3.27,267,3.92,25.3,201,186000
W24X335,98.3,27.5,1.38,0.69,13.5,2.48,2.98,3  3/4 ,1  7/8 ,335,11900,864,11,1020,1030,152,3.23,238,3.86,25,152,161000
W24X306,89.7,27.1,1.26,0.63,13.4,2.28,2.78,3  9/16,1 13/16,306,10700,789,10.9,922,919,137,3.2,214,3.81,24.8,117,142000
W24X279,81.9,26.7,1.16,0.58,13.3,2.09,2.59,3  3/8 ,1 13/16,279,9600,718,10.8,835,823,124,3.17,193,3.76,24.6,90.5,125000
W24X250,73.5,26.3,1.04,0.52,13.2,1.89,2.39,3  1/8 ,1  3/4 ,250,8490,644,10.7,744,724,110,3.14,171,3.71,24.4,66.6,108000
W24X229,67.2,26,0.96,0.48,13.1,1.73,2.23,3,1 11/16,229,7650,588,10.7,675,651,99.4,3.11,154,3.67,24.3,51.3,96100
W24X207,60.7,25.7,0.87,0.435,13,1.57,2.07,2  7/8 ,1  5/8 ,207,6820,531,10.6,606,578,88.8,3.08,137,3.62,24.1,38.3,84100
W24X192,56.5,25.5,0.81,0.405,13,1.46,1.96,2  3/4 ,1  5/8 ,192,6260,491,10.5,559,530,81.8,3.07,126,3.6,24,30.8,76300
W24X176,51.7,25.2,0.75,0.375,12.9,1.34,1.84,2  5/8 ,1  9/16,176,5680,450,10.5,511,479,74.3,3.04,115,3.57,23.9,23.9,68400
W24X162,47.8,25,0.705,0.3525,13,1.22,1.72,2  1/2 ,1  9/16,162,5170,414,10.4,468,443,68.4,3.05,105,3.57,23.8,18.5,62600
W24X146,43,24.7,0.65,0.325,12.9,1.09,1.59,2  3/8 ,1  9/16,146,4580,371,10.3,418,391,60.5,3.01,93.2,3.53,23.6,13.4,54600
W24X131,38.6,24.5,0.605,0.3025,12.9,0.96,1.46,2  1/4 ,1  1/2 ,131,4020,329,10.2,370,340,53,2.97,81.5,3.49,23.5,9.5,47100
W24X117,34.4,24.3,0.55,0.275,12.8,0.85,1.35,2  1/8 ,1  1/2 ,117,3540,291,10.1,327,297,46.5,2.94,71.4,3.46,23.5,6.72,40800
W24X104,30.7,24.1,0.5,0.25,12.8,0.75,1.25,2  1/16,1  7/16,104,3100,258,10.1,289,259,40.7,2.91,62.4,3.42,23.4,4.72,35200
W24X103,30.3,24.5,0.55,0.275,9,0.98,1.48,2  1/4 ,1  1/2 ,103,3000,245,10,280,119,26.5,1.99,41.5,2.4,23.5,7.07,16600
W24X94,27.7,24.3,0.515,0.2575,9.07,0.875,1.38,2  1/8 ,1  7/16,94,2700,222,9.87,254,109,24,1.98,37.5,2.4,23.4,5.26,15000
W24X84,24.7,24.1,0.47,0.235,9.02,0.77,1.27,2  1/16,1  7/16,84,2370,196,9.79,224,94.4,20.9,1.95,32.6,2.37,23.3,3.7,12800
W24X76,22.4,23.9,0.44,0.22,8.99,0.68,1.18,1 15/16,1  7/16,76,2100,176,9.69,200,82.5,18.4,1.92,28.6,2.33,23.2,2.68,11100
W24X68,20.1,23.7,0.415,0.2075,8.97,0.585,1.09,1  7/8 ,1  7/16,68,1830,154,9.55,177,70.4,15.7,1.87,24.5,2.3,23.1,1.87,9430
W24X62,18.2,23.7,0.43,0.215,7.04,0.59,1.09,1  1/2 ,1  1/16,62,1550,131,9.23,153,34.5,9.8,1.38,15.7,1.75,23.1,1.71,4620
W24X55,16.2,23.6,0.395,0.1975,7.01,0.505,1.01,1  7/16,1,55,1350,114,9.11,134,29.1,8.3,1.34,13.3,1.72,23.1,1.18,3870
W21X275,81.8,24.1,1.22,0.61,12.9,2.19,3.37,3  7/16,1 13/16,275,7690,638,9.7,749,787,122,3.1,191,3.68,21.9,107,94400
W21X248,73.8,23.7,1.1,0.55,12.8,1.99,3.17,3  1/4 ,1  3/4 ,248,6830,576,9.62,671,699,109,3.08,170,3.63,21.7,80.7,82400
W21X223,66.5,23.4,1,0.5,12.7,1.79,2.97,3  1/16,1 11/16,223,6080,520,9.56,601,614,96.7,3.04,150,3.57,21.6,59.5,71700
W21X201,59.3,23,0.91,0.455,12.6,1.63,2.13,2  7/8 ,1 11/16,201,5310,461,9.47,530,542,86.1,3.02,133,3.55,21.4,40.9,62000
W21X182,53.6,22.7,0.83,0.415,12.5,1.48,1.98,2  3/4 ,1  5/8 ,182,4730,417,9.4,476,483,77.2,3,119,3.51,21.2,30.7,54400
W21X166,48.8,22.5,0.75,0.375,12.4,1.36,1.86,2  5/8 ,1  9/16,166,4280,380,9.36,432,435,70,2.99,108,3.48,21.1,23.6,48500
W21X147,43.2,22.1,0.72,0.36,12.5,1.15,1.65,2  7/16,1  9/16,147,3630,329,9.17,373,376,60.1,2.95,92.6,3.46,21,15.4,41100
W21X132,38.8,21.8,0.65,0.325,12.4,1.04,1.54,2  1/4 ,1  9/16,132,3220,295,9.12,333,333,53.5,2.93,82.3,3.43,20.8,11.3,36000
W21X122,35.9,21.7,0.6,0.3,12.4,0.96,1.46,2  1/4 ,1  1/2 ,122,2960,273,9.09,307,305,49.2,2.92,75.6,3.4,20.7,8.98,32700
W21X111,32.6,21.5,0.55,0.275,12.3,0.875,1.38,2  1/8 ,1  1/2 ,111,2670,249,9.05,279,274,44.5,2.9,68.2,3.37,20.6,6.83,29200
W21X101,29.8,21.4,0.5,0.25,12.3,0.8,1.3,2  1/16,1  7/16,101,2420,227,9.02,253,248,40.3,2.89,61.7,3.35,20.6,5.21,26200
W21X93,27.3,21.6,0.58,0.29,8.42,0.93,1.43,1  5/8 , 15/16,93,2070,192,8.7,221,92.9,22.1,1.84,34.7,2.24,20.7,6.03,9940
W21X83,24.4,21.4,0.515,0.2575,8.36,0.835,1.34,1  1/2 ,  7/8 ,83,1830,171,8.67,196,81.4,19.5,1.83,30.5,2.21,20.6,4.34,8630
W21X73,21.5,21.2,0.455,0.2275,8.3,0.74,1.24,1  7/16,  7/8 ,73,1600,151,8.64,172,70.6,17,1.81,26.6,2.19,20.5,3.02,7410
W21X68,20,21.1,0.43,0.215,8.27,0.685,1.19,1  3/8 ,  7/8 ,68,1480,140,8.6,160,64.7,15.7,1.8,24.4,2.17,20.4,2.45,6760
W21X62,18.3,21,0.4,0.2,8.24,0.615,1.12,1  5/16, 13/16,62,1330,127,8.54,144,57.5,14,1.77,21.7,2.15,20.4,1.83,5960
W21X55,16.2,20.8,0.375,0.1875,8.22,0.522,1.02,1  3/16, 13/16,55,1140,110,8.4,126,48.4,11.8,1.73,18.4,2.11,20.3,1.24,4980
W21X48,14.1,20.6,0.35,0.175,8.14,0.43,0.93,1  1/8 , 13/16,48,959,93,8.24,107,38.7,9.52,1.66,14.9,2.05,20.2,0.803,3950
W21X57,16.7,21.1,0.405,0.2025,6.56,0.65,1.15,1  5/16, 13/16,57,1170,111,8.36,129,30.6,9.35,1.35,14.8,1.68,20.5,1.77,3190
W21X50,14.7,20.8,0.38,0.19,6.53,0.535,1.04,1  1/4 , 13/16,50,984,94.5,8.18,110,24.9,7.64,1.3,12.2,1.64,20.3,1.14,2570
W21X44,13,20.7,0.35,0.175,6.5,0.45,0.95,1  1/8 , 13/16,44,843,81.6,8.06,95.4,20.7,6.37,1.26,10.2,1.6,20.3,0.77,2110
W18X311,91.6,22.3,1.52,0.76,12,2.74,3.24,3  9/16,1  9/16,311,6970,624,8.72,754,795,132,2.95,207,3.53,19.6,176,76200
W18X283,83.3,21.9,1.4,0.7,11.9,2.5,3,3  3/8 ,1  1/2 ,283,6170,565,8.61,676,704,118,2.91,185,3.47,19.4,134,65900
W18X258,76,21.5,1.28,0.64,11.8,2.3,2.7,3  3/16,1  7/16,258,5510,514,8.53,611,628,107,2.88,166,3.42,19.2,103,57600
W18X234,68.6,21.1,1.16,0.58,11.7,2.11,2.51,3,1  3/8 ,234,4900,466,8.44,549,558,95.8,2.85,149,3.37,19,78.7,50100
W18X211,62.3,20.7,1.06,0.53,11.6,1.91,2.31,2 13/16,1  3/8 ,211,4330,419,8.35,490,493,85.3,2.82,132,3.32,18.8,58.6,43400
W18X192,56.2,20.4,0.96,0.48,11.5,1.75,2.15,2  5/8 ,1  5/16,192,3870,380,8.28,442,440,76.8,2.79,119,3.28,18.7,44.7,38000
W18X175,51.4,20,0.89,0.445,11.4,1.59,1.99,2  7/16,1  1/4 ,175,3450,344,8.2,398,391,68.8,2.76,106,3.24,18.4,33.8,33300
W18X158,46.3,19.7,0.81,0.405,11.3,1.44,1.84,2  3/8 ,1  1/4 ,158,3060,310,8.12,356,347,61.4,2.74,94.8,3.2,18.3,25.2,29000
W18X143,42,19.5,0.73,0.365,11.2,1.32,1.72,2  3/16,1  3/16,143,2750,282,8.09,322,311,55.5,2.72,85.4,3.17,18.2,19.2,25700
W18X130,38.3,19.3,0.67,0.335,11.2,1.2,1.6,2  1/16,1  3/16,130,2460,256,8.03,290,278,49.9,2.7,76.7,3.13,18.1,14.5,22700
W18X119,35.1,19,0.655,0.3275,11.3,1.06,1.46,1 15/16,1  3/16,119,2190,231,7.9,262,253,44.9,2.69,69.1,3.13,17.9,10.6,20300
W18X106,31.1,18.7,0.59,0.295,11.2,0.94,1.34,1 13/16,1  1/8 ,106,1910,204,7.84,230,220,39.4,2.66,60.5,3.1,17.8,7.48,17400
W18X97,28.5,18.6,0.535,0.2675,11.1,0.87,1.27,1  3/4 ,1  1/8 ,97,1750,188,7.82,211,201,36.1,2.65,55.3,3.08,17.7,5.86,15800
W18X86,25.3,18.4,0.48,0.24,11.1,0.77,1.17,1  5/8 ,1  1/16,86,1530,166,7.77,186,175,31.6,2.63,48.4,3.05,17.6,4.1,13600
W18X76,22.3,18.2,0.425,0.2125,11,0.68,1.08,1  9/16,1  1/16,76,1330,146,7.73,163,152,27.6,2.61,42.2,3.02,17.5,2.83,11700
W18X71,20.9,18.5,0.495,0.2475,7.64,0.81,1.21,1  1/2 ,  7/8 ,71,1170,127,7.5,146,60.3,15.8,1.7,24.7,2.05,17.7,3.49,4700
W18X65,19.1,18.4,0.45,0.225,7.59,0.75,1.15,1  7/16,  7/8 ,65,1070,117,7.49,133,54.8,14.4,1.69,22.5,2.03,17.7,2.73,4240
W18X60,17.6,18.2,0.415,0.2075,7.56,0.695,1.1,1  3/8 , 13/16,60,984,108,7.47,123,50.1,13.3,1.68,20.6,2.02,17.5,2.17,3850
W18X55,16.2,18.1,0.39,0.195,7.53,0.63,1.03,1  5/16, 13/16,55,890,98.3,7.41,112,44.9,11.9,1.67,18.5,2,17.5,1.66,3430
